mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__max_iter,param_model__max_leaf_nodes,param_model__min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.09103302955627442,0.010526082498953924,0.006493759155273437,0.0016148262066662553,0.05,150,30,21,"{'model__learning_rate': 0.05, 'model__max_iter': 150, 'model__max_leaf_nodes': 30, 'model__min_samples_leaf': 21}",0.8726199558270055,0.8353125987057869,0.8930752132430765,0.8377034584089023,0.8387781241134804,0.8554978700596504,0.023275990685165233,1
0.08758049011230469,0.011861188452052814,0.005110645294189453,0.0004723447320694471,0.05,150,39,21,"{'model__learning_rate': 0.05, 'model__max_iter': 150, 'model__max_leaf_nodes': 39, 'model__min_samples_leaf': 21}",0.8726199558270055,0.8353125987057869,0.8930752132430765,0.8377034584089023,0.8387781241134804,0.8554978700596504,0.023275990685165233,1
0.08946518898010254,0.009789228634321087,0.007981348037719726,0.0026342121706299797,0.05,150,45,21,"{'model__learning_rate': 0.05, 'model__max_iter': 150, 'model__max_leaf_nodes': 45, 'model__min_samples_leaf': 21}",0.8726199558270055,0.8353125987057869,0.8930752132430765,0.8377034584089023,0.8387781241134804,0.8554978700596504,0.023275990685165233,1
0.12548632621765138,0.011608449893606768,0.006723833084106445,0.0017914316094399078,0.05,150,39,15,"{'model__learning_rate': 0.05, 'model__max_iter': 150, 'model__max_leaf_nodes': 39, 'model__min_samples_leaf': 15}",0.8684128354897985,0.8311930846519688,0.8977459831270731,0.8347949963142076,0.8336325946562632,0.8531558988478622,0.026159881832816437,4
0.11216716766357422,0.014491444319400032,0.007579374313354492,0.003050789692174653,0.05,150,45,15,"{'model__learning_rate': 0.05, 'model__max_iter': 150, 'model__max_leaf_nodes': 45, 'model__min_samples_leaf': 15}",0.8684128354897985,0.8311930846519688,0.8977459831270731,0.8347949963142076,0.8336325946562632,0.8531558988478622,0.026159881832816437,4
0.09645547866821289,0.011546949777652124,0.006107616424560547,0.0013553112559662333,0.09,150,45,21,"{'model__learning_rate': 0.09, 'model__max_iter': 150, 'model__max_leaf_nodes': 45, 'model__min_samples_leaf': 21}",0.8703727915507247,0.8284377787911481,0.8863117434780277,0.8363182947132762,0.8395069945323618,0.8521895206131077,0.02223441006261852,6
0.08307943344116211,0.014485479508564004,0.00805659294128418,0.0056101301554882885,0.09,150,39,21,"{'model__learning_rate': 0.09, 'model__max_iter': 150, 'model__max_leaf_nodes': 39, 'model__min_samples_leaf': 21}",0.8703727915507247,0.8284377787911481,0.8863117434780277,0.8363182947132762,0.8395069945323618,0.8521895206131077,0.02223441006261852,6
0.09080862998962402,0.006183141182662221,0.006658172607421875,0.0032935219099519933,0.09,150,30,21,"{'model__learning_rate': 0.09, 'model__max_iter': 150, 'model__max_leaf_nodes': 30, 'model__min_samples_leaf': 21}",0.8703727915507247,0.8284377787911481,0.8863117434780277,0.8363182947132762,0.8395069945323618,0.8521895206131077,0.02223441006261852,6
0.08688058853149414,0.010407965607758507,0.006593561172485352,0.0012446444990483385,0.07,150,39,21,"{'model__learning_rate': 0.07, 'model__max_iter': 150, 'model__max_leaf_nodes': 39, 'model__min_samples_leaf': 21}",0.8744538091508478,0.8216747914381025,0.8845290969616961,0.837662321224383,0.8379596923088315,0.8512559422167723,0.02400777012410882,9
0.09622173309326172,0.024935034188162248,0.005399656295776367,0.0007502132882443853,0.07,150,30,21,"{'model__learning_rate': 0.07, 'model__max_iter': 150, 'model__max_leaf_nodes': 30, 'model__min_samples_leaf': 21}",0.8744538091508478,0.8216747914381025,0.8845290969616961,0.837662321224383,0.8379596923088315,0.8512559422167723,0.02400777012410882,9
0.0890343189239502,0.008503648157643038,0.005716991424560547,0.0015136317209452402,0.07,150,45,21,"{'model__learning_rate': 0.07, 'model__max_iter': 150, 'model__max_leaf_nodes': 45, 'model__min_samples_leaf': 21}",0.8744538091508478,0.8216747914381025,0.8845290969616961,0.837662321224383,0.8379596923088315,0.8512559422167723,0.02400777012410882,9
0.10613956451416015,0.012725542338273464,0.00771174430847168,0.0012507010407847754,0.07,150,30,15,"{'model__learning_rate': 0.07, 'model__max_iter': 150, 'model__max_leaf_nodes': 30, 'model__min_samples_leaf': 15}",0.8711167466987536,0.8291589797028228,0.8894427734591208,0.8336426548830581,0.8297401193522707,0.8506202548192052,0.024948344310777186,12
0.1201479434967041,0.007424902912547768,0.006686782836914063,0.0026910225054521623,0.05,150,30,15,"{'model__learning_rate': 0.05, 'model__max_iter': 150, 'model__max_leaf_nodes': 30, 'model__min_samples_leaf': 15}",0.867679170944483,0.8273814866738871,0.8910032314832069,0.8323452797984685,0.8334590013514518,0.8503736340502994,0.024859650005988304,13
0.06854357719421386,0.011043961226334106,0.005297183990478516,0.0007988923970931115,0.05,150,45,27,"{'model__learning_rate': 0.05, 'model__max_iter': 150, 'model__max_leaf_nodes': 45, 'model__min_samples_leaf': 27}",0.8700870320506974,0.8205660641575214,0.8778765579640234,0.8409628338367218,0.8276884351400667,0.8474361846298061,0.022775243016073154,14
0.07148795127868653,0.01063855985397792,0.006406927108764648,0.002292606609282385,0.05,150,39,27,"{'model__learning_rate': 0.05, 'model__max_iter': 150, 'model__max_leaf_nodes': 39, 'model__min_samples_leaf': 27}",0.8700870320506974,0.8205660641575214,0.8778765579640234,0.8409628338367218,0.8276884351400667,0.8474361846298061,0.022775243016073154,14
