mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__max_iter,param_model__max_leaf_nodes,param_model__min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.09446377754211426,0.014029173625926731,0.005452156066894531,0.0014539011502450933,0.06780602616231217,121,39,21,"{'model__learning_rate': np.float64(0.06780602616231217), 'model__max_iter': 121, 'model__max_leaf_nodes': 39, 'model__min_samples_leaf': 21}",0.8713461071291649,0.8338519882662454,0.8950022337707859,0.8371463619912293,0.8371714004475997,0.854903618321005,0.024294761699714628,1
0.33495440483093264,0.014021056013797464,0.010858631134033203,0.002835443006795,0.017682382012301955,306,29,14,"{'model__learning_rate': np.float64(0.017682382012301955), 'model__max_iter': 306, 'model__max_leaf_nodes': 29, 'model__min_samples_leaf': 14}",0.8737379442479792,0.8295777771822862,0.8892868856674466,0.8374002763631232,0.839569479203448,0.8539144725328566,0.02330214535678667,2
0.3724995136260986,0.020276128101520276,0.012653017044067382,0.00329675084133161,0.01594952556655613,501,40,16,"{'model__learning_rate': np.float64(0.01594952556655613), 'model__max_iter': 501, 'model__max_leaf_nodes': 40, 'model__min_samples_leaf': 16}",0.8648128697883585,0.8254604863493653,0.8930449477871776,0.8395058709927323,0.8405119893183896,0.8526672328472046,0.023828784302128748,3
0.289640998840332,0.026728036066653655,0.010224628448486327,0.0046111513998431525,0.013911053916202464,357,38,16,"{'model__learning_rate': np.float64(0.013911053916202464), 'model__max_iter': 357, 'model__max_leaf_nodes': 38, 'model__min_samples_leaf': 16}",0.8677207944941894,0.8260963663678099,0.8946038633101204,0.8312380603930303,0.8410676513152169,0.8521453471760733,0.025626937151473503,4
0.07360024452209472,0.00808025880643811,0.007937383651733399,0.0016903292830120322,0.061556316037040225,152,38,29,"{'model__learning_rate': np.float64(0.061556316037040225), 'model__max_iter': 152, 'model__max_leaf_nodes': 38, 'model__min_samples_leaf': 29}",0.8679218267527378,0.8302044139347137,0.8825251538622865,0.8393602920709011,0.8344225805194782,0.8508868534280234,0.020605191448095795,5
0.07693800926208497,0.004598244614254603,0.005150127410888672,0.00039687126599196964,0.09077961615333649,153,18,26,"{'model__learning_rate': np.float64(0.09077961615333649), 'model__max_iter': 153, 'model__max_leaf_nodes': 18, 'model__min_samples_leaf': 26}",0.8672209280554586,0.8326516610918384,0.8764219379966619,0.8410153178824896,0.8363084355237044,0.8507236561100306,0.017670365549113623,6
0.20369405746459962,0.023939826844578377,0.009922599792480469,0.002962373434475713,0.04544831118834681,385,25,27,"{'model__learning_rate': np.float64(0.04544831118834681), 'model__max_iter': 385, 'model__max_leaf_nodes': 25, 'model__min_samples_leaf': 27}",0.8722263133596251,0.8276083388234272,0.8751535165524621,0.8473152519997905,0.826460705425744,0.8497528252322099,0.020924128057392192,7
0.12579216957092285,0.007711327795841732,0.006527614593505859,0.0022148920023679192,0.01252034262037464,188,28,22,"{'model__learning_rate': np.float64(0.01252034262037464), 'model__max_iter': 188, 'model__max_leaf_nodes': 28, 'model__min_samples_leaf': 22}",0.8631617378874255,0.8253976851169762,0.8898298627184188,0.8368710010578,0.8202045576324137,0.8470929688826068,0.026010797971249614,8
0.09479007720947266,0.008081820353416426,0.0072708606719970705,0.002179228148793487,0.12862726914542072,161,20,16,"{'model__learning_rate': np.float64(0.12862726914542072), 'model__max_iter': 161, 'model__max_leaf_nodes': 20, 'model__min_samples_leaf': 16}",0.862648436050655,0.8197846576011323,0.8886757899329246,0.841992781411096,0.8213649931571877,0.8468933316305991,0.026094400941103258,9
0.2536506175994873,0.018475766582032413,0.012400579452514649,0.0034111468774650337,0.08322913548258405,445,16,24,"{'model__learning_rate': np.float64(0.08322913548258405), 'model__max_iter': 445, 'model__max_leaf_nodes': 16, 'model__min_samples_leaf': 24}",0.8750501572236548,0.8171718623804465,0.8709317804539717,0.8416098657507984,0.8256258491704682,0.8460779029958679,0.023370561766045416,10
0.10437636375427246,0.0397895786464882,0.009251880645751952,0.0030281452722895484,0.15814129005182617,120,33,27,"{'model__learning_rate': np.float64(0.15814129005182617), 'model__max_iter': 120, 'model__max_leaf_nodes': 33, 'model__min_samples_leaf': 27}",0.8696949679162537,0.8232333022376218,0.8750963459026329,0.8393169335600231,0.8218508851779451,0.8458384869588954,0.022601256902478353,11
0.23625869750976564,0.015361010816616576,0.009669351577758788,0.0009068735663711715,0.07204274607310872,561,37,29,"{'model__learning_rate': np.float64(0.07204274607310872), 'model__max_iter': 561, 'model__max_leaf_nodes': 37, 'model__min_samples_leaf': 29}",0.8798589256554741,0.8140836564345664,0.8701481633905062,0.8466984726302519,0.8178155580498567,0.8457209552321311,0.026618320497011568,12
