fold,roc_auc,pr_auc,accuracy
1,0.8670454545454547,0.8465182851770705,0.7902097902097902
2,0.8063016528925621,0.80719716753057,0.7832167832167832
3,0.8859979101358412,0.877056711200157,0.795774647887324
4,0.8448021885521886,0.8312685353715614,0.7464788732394366
5,0.8731060606060607,0.8087120319417639,0.823943661971831
mean,0.8554506533464215,0.8341505462442246,0.7879247513050329
std,0.031258205985769005,0.02905085445475336,0.027857359785700947
